case_id	policy	threshold	n_cells	accepted_cells	review_cells	coverage	all_cell_accuracy	accepted_accuracy	accepted_risk	review_accuracy	review_risk	error_capture	open_set_capture	accepted_mean_confidence	model_output
strict_heldout_3964	accept_all_baseline		3964	3964	0	1.0	0.6624621594349143	0.6624621594349143	0.3375378405650858	0.0	0.0	0.0	0.0	0.7206258567103936	direct_baseline
strict_heldout_3964	agent_threshold	0.5	3964	3096	868	0.781029263370333	0.6624621594349143	0.752906976744186	0.24709302325581395	0.33986175115207373	0.6601382488479263	0.4282511210762332	1.0	0.793174976744186	direct_baseline
strict_heldout_3964	agent_threshold	0.6	3964	2702	1262	0.6816347124117054	0.6624621594349143	0.7964470762398224	0.20355292376017764	0.375594294770206	0.624405705229794	0.5889387144992526	1.0	0.8288415022205774	direct_baseline
strict_heldout_3964	agent_threshold	0.7	3964	2239	1725	0.5648335015136225	0.6624621594349143	0.8570790531487271	0.14292094685127288	0.4098550724637681	0.5901449275362319	0.7608370702541106	1.0	0.8655443970522554	direct_baseline
strict_heldout_3964	agent_threshold	0.8	3964	1597	2367	0.40287588294651866	0.6624621594349143	0.9192235441452724	0.08077645585472762	0.4892268694550063	0.5107731305449936	0.9035874439461884	1.0	0.9107157908578585	direct_baseline
strict_heldout_3964	agent_threshold	0.9	3964	1002	2962	0.25277497477295663	0.6624621594349143	0.9800399201596807	0.01996007984031936	0.5550303848750844	0.4449696151249156	0.9850523168908819	1.0	0.9441997235528942	direct_baseline
strict_heldout_3964	accept_all_baseline		3964	3964	0	1.0	0.6624621594349143	0.6624621594349143	0.3375378405650858	0.0	0.0	0.0	0.0	0.7206258567103936	agent_output
strict_heldout_3964	agent_threshold	0.5	3964	3096	868	0.781029263370333	0.6624621594349143	0.752906976744186	0.24709302325581395	0.33986175115207373	0.6601382488479263	0.4282511210762332	1.0	0.793174976744186	agent_output
strict_heldout_3964	agent_threshold	0.6	3964	2702	1262	0.6816347124117054	0.6624621594349143	0.7964470762398224	0.20355292376017764	0.375594294770206	0.624405705229794	0.5889387144992526	1.0	0.8288415022205774	agent_output
strict_heldout_3964	agent_threshold	0.7	3964	2239	1725	0.5648335015136225	0.6624621594349143	0.8570790531487271	0.14292094685127288	0.4098550724637681	0.5901449275362319	0.7608370702541106	1.0	0.8655443970522554	agent_output
strict_heldout_3964	agent_threshold	0.8	3964	1597	2367	0.40287588294651866	0.6624621594349143	0.9192235441452724	0.08077645585472762	0.4892268694550063	0.5107731305449936	0.9035874439461884	1.0	0.9107157908578585	agent_output
strict_heldout_3964	agent_threshold	0.9	3964	1002	2962	0.25277497477295663	0.6624621594349143	0.9800399201596807	0.01996007984031936	0.5550303848750844	0.4449696151249156	0.9850523168908819	1.0	0.9441997235528942	agent_output
arabidopsis_secondary_root	accept_all_baseline		11760	11760	0	1.0	0.8664115646258503	0.8664115646258503	0.13358843537414966	0.0	0.0	0.0	0.0	0.8733630279761905	direct_baseline
