acceptance_rate	accepted_cells	threshold	selective_accuracy	known_label_accuracy	known_label_fraction	rejected_cells	rejected_error_capture	rejected_open_set_capture
0.1	396	0.7931229472160339	0.43686868686868685	0.4792243767313019	0.9116161616161617	3568	0.9263296993723158	0.9799771167048055
0.2	793	0.7536976933479309	0.5964691046658259	0.6815561959654178	0.8751576292559899	3171	0.8942847703997358	0.9433638443935927
0.3	1189	0.7017766237258911	0.5391084945332212	0.7138084632516704	0.7552565180824222	2775	0.8189626693095474	0.8335240274599542
0.4	1586	0.6437053680419922	0.45081967213114754	0.6881616939364774	0.6551071878940732	2378	0.7122563594317807	0.687070938215103
0.5	1982	0.5435136556625366	0.38244197780020184	0.6337792642140468	0.6034308779011099	1982	0.595639246778989	0.5503432494279176
0.6	2378	0.44492778182029724	0.3351555929352397	0.5676638176638177	0.5904121110176619	1586	0.47770069375619423	0.44279176201373
0.7	2775	0.37894701957702637	0.3009009009009009	0.49850746268656715	0.6036036036036037	1189	0.3591014205483978	0.3707093821510298
0.8	3171	0.31864145398139954	0.272153894670451	0.4490114464099896	0.6061179438662883	793	0.23752890650809383	0.2854691075514874
0.9	3568	0.2592141628265381	0.2564461883408072	0.4322153991497402	0.593329596412556	396	0.12355467459530889	0.16990846681922198
1.0	3964	0.05641501396894455	0.2363773965691221	0.42283393501805056	0.5590312815338042	0	0.0	0.0
