case_id	bin	bin_lower	bin_upper	n_cells	mean_confidence	observed_accuracy	absolute_gap	model_output
strict_heldout_3964	0	0.0	0.1	0	0.0	0.0	0.0	direct_baseline
strict_heldout_3964	1	0.1	0.2	4	0.19293725	0.0	0.19293725	direct_baseline
strict_heldout_3964	2	0.2	0.30000000000000004	75	0.26941217333333334	0.12	0.14941217333333334	direct_baseline
strict_heldout_3964	3	0.30000000000000004	0.4	258	0.35452004263565895	0.1937984496124031	0.16072159302325584	direct_baseline
strict_heldout_3964	4	0.4	0.5	370	0.45293961081081074	0.33783783783783783	0.11510177297297292	direct_baseline
strict_heldout_3964	5	0.5	0.6000000000000001	425	0.5490157647058823	0.45647058823529413	0.09254517647058819	direct_baseline
strict_heldout_3964	6	0.6000000000000001	0.7000000000000001	487	0.6514645297741273	0.4948665297741273	0.15659799999999996	direct_baseline
strict_heldout_3964	7	0.7000000000000001	0.8	677	0.7528862880354504	0.7001477104874446	0.052738577548005816	direct_baseline
strict_heldout_3964	8	0.8	0.9	650	0.8544140846153847	0.823076923076923	0.031337161538461666	direct_baseline
strict_heldout_3964	9	0.9	1.0	1018	0.9438716198428291	0.9803536345776032	0.03648201473477408	direct_baseline
strict_heldout_3964	0	0.0	0.1	0	0.0	0.0	0.0	agent_output
strict_heldout_3964	1	0.1	0.2	4	0.19293725	0.0	0.19293725	agent_output
strict_heldout_3964	2	0.2	0.30000000000000004	75	0.26941217333333334	0.12	0.14941217333333334	agent_output
strict_heldout_3964	3	0.30000000000000004	0.4	258	0.35452004263565895	0.1937984496124031	0.16072159302325584	agent_output
strict_heldout_3964	4	0.4	0.5	370	0.45293961081081074	0.33783783783783783	0.11510177297297292	agent_output
strict_heldout_3964	5	0.5	0.6000000000000001	425	0.5490157647058823	0.45647058823529413	0.09254517647058819	agent_output
strict_heldout_3964	6	0.6000000000000001	0.7000000000000001	487	0.6514645297741273	0.4948665297741273	0.15659799999999996	agent_output
strict_heldout_3964	7	0.7000000000000001	0.8	677	0.7528862880354504	0.7001477104874446	0.052738577548005816	agent_output
strict_heldout_3964	8	0.8	0.9	650	0.8544140846153847	0.823076923076923	0.031337161538461666	agent_output
strict_heldout_3964	9	0.9	1.0	1018	0.9438716198428291	0.9803536345776032	0.03648201473477408	agent_output
arabidopsis_secondary_root	0	0.0	0.1	0	0.0	0.0	0.0	direct_baseline
arabidopsis_secondary_root	1	0.1	0.2	0	0.0	0.0	0.0	direct_baseline
arabidopsis_secondary_root	2	0.2	0.30000000000000004	9	0.28438311111111114	0.3333333333333333	0.04895022222222217	direct_baseline
arabidopsis_secondary_root	3	0.30000000000000004	0.4	81	0.3657158271604938	0.32098765432098764	0.04472817283950614	direct_baseline
arabidopsis_secondary_root	4	0.4	0.5	332	0.46136106927710846	0.5210843373493976	0.05972326807228917	direct_baseline
arabidopsis_secondary_root	5	0.5	0.6000000000000001	663	0.5510679049773756	0.5279034690799397	0.023164435897435887	direct_baseline
arabidopsis_secondary_root	6	0.6000000000000001	0.7000000000000001	777	0.6524720656370656	0.6306306306306306	0.021841435006434984	direct_baseline
arabidopsis_secondary_root	7	0.7000000000000001	0.8	934	0.752568852248394	0.7483940042826552	0.004174847965738748	direct_baseline
arabidopsis_secondary_root	8	0.8	0.9	1555	0.856462091318328	0.8308681672025724	0.025593924115755562	direct_baseline
arabidopsis_secondary_root	9	0.9	1.0	7409	0.9688714242137941	0.9658523417465245	0.0030190824672696737	direct_baseline
arabidopsis_secondary_root	0	0.0	0.1	0	0.0	0.0	0.0	agent_output
arabidopsis_secondary_root	1	0.1	0.2	0	0.0	0.0	0.0	agent_output
arabidopsis_secondary_root	2	0.2	0.30000000000000004	9	0.28438311111111114	0.3333333333333333	0.04895022222222217	agent_output
arabidopsis_secondary_root	3	0.30000000000000004	0.4	81	0.3657158271604938	0.32098765432098764	0.04472817283950614	agent_output
arabidopsis_secondary_root	4	0.4	0.5	332	0.46136106927710846	0.5210843373493976	0.05972326807228917	agent_output
arabidopsis_secondary_root	5	0.5	0.6000000000000001	663	0.5510679049773756	0.5279034690799397	0.023164435897435887	agent_output
arabidopsis_secondary_root	6	0.6000000000000001	0.7000000000000001	777	0.6524720656370656	0.6306306306306306	0.021841435006434984	agent_output
arabidopsis_secondary_root	7	0.7000000000000001	0.8	934	0.752568852248394	0.7483940042826552	0.004174847965738748	agent_output
arabidopsis_secondary_root	8	0.8	0.9	1555	0.856462091318328	0.8308681672025724	0.025593924115755562	agent_output
arabidopsis_secondary_root	9	0.9	1.0	7409	0.9688714242137941	0.9658523417465245	0.0030190824672696737	agent_output
wheat_nonoverlap	0	0.0	0.1	0	0.0	0.0	0.0	direct_baseline
wheat_nonoverlap	1	0.1	0.2	6	0.189177	0.3333333333333333	0.1441563333333333	direct_baseline
wheat_nonoverlap	2	0.2	0.30000000000000004	273	0.27003286446886443	0.304029304029304	0.03399643956043957	direct_baseline
wheat_nonoverlap	3	0.30000000000000004	0.4	902	0.3532055875831486	0.3669623059866962	0.01375671840354764	direct_baseline
wheat_nonoverlap	4	0.4	0.5	1048	0.44904186164122134	0.4599236641221374	0.01088180248091608	direct_baseline
wheat_nonoverlap	5	0.5	0.6000000000000001	1000	0.549073687	0.584	0.03492631299999993	direct_baseline
wheat_nonoverlap	6	0.6000000000000001	0.7000000000000001	778	0.6473254922879178	0.6529562982005142	0.005630805912596348	direct_baseline
wheat_nonoverlap	7	0.7000000000000001	0.8	629	0.7492314610492845	0.7217806041335453	0.02745085691573923	direct_baseline
wheat_nonoverlap	8	0.8	0.9	724	0.8530352569060774	0.7569060773480663	0.09612917955801115	direct_baseline
wheat_nonoverlap	9	0.9	1.0	1804	0.9586310582039912	0.9113082039911308	0.04732285421286042	direct_baseline
wheat_nonoverlap	0	0.0	0.1	0	0.0	0.0	0.0	agent_output
wheat_nonoverlap	1	0.1	0.2	6	0.189177	0.3333333333333333	0.1441563333333333	agent_output
wheat_nonoverlap	2	0.2	0.30000000000000004	273	0.27003286446886443	0.304029304029304	0.03399643956043957	agent_output
wheat_nonoverlap	3	0.30000000000000004	0.4	902	0.3532055875831486	0.3669623059866962	0.01375671840354764	agent_output
wheat_nonoverlap	4	0.4	0.5	1048	0.44904186164122134	0.4599236641221374	0.01088180248091608	agent_output
wheat_nonoverlap	5	0.5	0.6000000000000001	1000	0.549073687	0.584	0.03492631299999993	agent_output
wheat_nonoverlap	6	0.6000000000000001	0.7000000000000001	778	0.6473254922879178	0.6529562982005142	0.005630805912596348	agent_output
wheat_nonoverlap	7	0.7000000000000001	0.8	629	0.7492314610492845	0.7217806041335453	0.02745085691573923	agent_output
wheat_nonoverlap	8	0.8	0.9	724	0.8530352569060774	0.7569060773480663	0.09612917955801115	agent_output
wheat_nonoverlap	9	0.9	1.0	1804	0.9586310582039912	0.9113082039911308	0.04732285421286042	agent_output
sorghum_sealed_library	0	0.0	0.1	0	0.0	0.0	0.0	direct_baseline
sorghum_sealed_library	1	0.1	0.2	1	0.178059	0.0	0.178059	direct_baseline
sorghum_sealed_library	2	0.2	0.30000000000000004	77	0.2623265974025974	0.2987012987012987	0.036374701298701295	direct_baseline
sorghum_sealed_library	3	0.30000000000000004	0.4	396	0.3574945934343434	0.3282828282828283	0.029211765151515134	direct_baseline
sorghum_sealed_library	4	0.4	0.5	1032	0.4553214825581395	0.42829457364341084	0.027026908914728642	direct_baseline
sorghum_sealed_library	5	0.5	0.6000000000000001	1356	0.5511981762536873	0.5420353982300885	0.009162778023598772	direct_baseline
sorghum_sealed_library	6	0.6000000000000001	0.7000000000000001	1468	0.6512572758855586	0.6376021798365122	0.013655096049046356	direct_baseline
sorghum_sealed_library	7	0.7000000000000001	0.8	1871	0.7520654703367182	0.7194013896312133	0.03266408070550497	direct_baseline
sorghum_sealed_library	8	0.8	0.9	2744	0.8557571851311954	0.8458454810495627	0.009911704081632666	direct_baseline
sorghum_sealed_library	9	0.9	1.0	10371	0.9678367321376916	0.9587310770417511	0.009105655095940524	direct_baseline
sorghum_sealed_library	0	0.0	0.1	0	0.0	0.0	0.0	agent_output
sorghum_sealed_library	1	0.1	0.2	1	0.178059	0.0	0.178059	agent_output
sorghum_sealed_library	2	0.2	0.30000000000000004	77	0.2623265974025974	0.2987012987012987	0.036374701298701295	agent_output
sorghum_sealed_library	3	0.30000000000000004	0.4	396	0.3574945934343434	0.3282828282828283	0.029211765151515134	agent_output
sorghum_sealed_library	4	0.4	0.5	1032	0.4553214825581395	0.42829457364341084	0.027026908914728642	agent_output
sorghum_sealed_library	5	0.5	0.6000000000000001	1356	0.5511981762536873	0.5420353982300885	0.009162778023598772	agent_output
sorghum_sealed_library	6	0.6000000000000001	0.7000000000000001	1468	0.6512572758855586	0.6376021798365122	0.013655096049046356	agent_output
sorghum_sealed_library	7	0.7000000000000001	0.8	1871	0.7520654703367182	0.7194013896312133	0.03266408070550497	agent_output
