acceptance_rate	accepted_cells	threshold	selective_accuracy	known_label_accuracy	known_label_fraction	rejected_cells	rejected_error_capture	rejected_open_set_capture
0.1	396	0.952267	0.98989898989899	0.98989898989899	1.0	3568	0.9970104633781763	0.0
0.2	793	0.91985	0.987389659520807	0.987389659520807	1.0	3171	0.992526158445441	0.0
0.3	1189	0.8781	0.9663582842724979	0.9663582842724979	1.0	2775	0.9701046337817638	0.0
0.4	1586	0.815479	0.9281210592686002	0.9281210592686002	1.0	2378	0.9147982062780269	0.0
0.5	1982	0.758567	0.8920282542885973	0.8920282542885973	1.0	1982	0.8400597907324364	0.0
0.6	2378	0.69526	0.851555929352397	0.851555929352397	1.0	1586	0.7361733931240658	0.0
0.7	2775	0.612054	0.7992792792792793	0.7992792792792793	1.0	1189	0.5837070254110612	0.0
0.8	3171	0.520279	0.760643330179754	0.760643330179754	1.0	793	0.4327354260089686	0.0
0.9	3568	0.418954	0.7135650224215246	0.7135650224215246	1.0	396	0.23617339312406577	0.0
1.0	3964	0.18453	0.6624621594349143	0.6624621594349143	1.0	0	0.0	0.0
