dataset_id	species	tissue_or_scope	priority	status	accession	source_url	page_url	fetch_status	file_count	file_type_counts	matrix_file_count	candidate_files	recommended_action	download_ready	error
discovered_gse270392	Glycine max	public discovery candidate	A	ncbi_discovery_candidate	GSE270392	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270392	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270392	ok	46	mtx_archive:1;seurat_rds:45	46	GSE270392_Early_nodule.soc.processed.rds.gz;GSE270392_Globular_stage_seeds.soc.processed.rds.gz;GSE270392_Gm_Cotyledon_stage_seeds.soc.processed.rds.gz;GSE270392_Gm_Cotyledon_stage_seeds.spRNA.obj.rds.gz;GSE270392_Gm_Early_maturation_stage_seeds.soc.processed.rds.gz;GSE270392_Gm_atlas_All_endosperm_var0.1_res0.3.iNMF_liger_obj.rds.gz;GSE270392_Gm_atlas_Cotyledon_stage_seeds.rna.seurat.obj.rds.gz;GSE270392_Gm_atlas_Cotyledon_stage_seeds_ACR_4cpm_rmcds_ACR_sparse.rds.gz;GSE270392_Gm_atlas_Cotyledon_stage_seeds_metav3_gene_sparse.rds.gz;GSE270392_Gm_atlas_Early_maturation_stage_seeds.rna.seurat.obj.rds.gz;GSE270392_Gm_atlas_Early_maturation_stage_seeds.spRNA.obj.rds.gz;GSE270392_Gm_atlas_Early_maturation_stage_seeds_ACR_4cpm_rmcds_ACR_sparse.rds.gz	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
arabidopsis_root_atlas	Arabidopsis thaliana	root	A	download_candidate	GSE152766	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152766	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152766	ok	33	mtx_archive:1;seurat_rds:32	33	GSE152766_Columella_Atlas.rds.gz;GSE152766_Epidermis_LRC_Atlas.rds.gz;GSE152766_Ground_Tissue_Atlas.rds.gz;GSE152766_RAW.tar;GSE152766_Root_Atlas.rds.gz;GSE152766_Root_Atlas_seu4.rds.gz;GSE152766_Root_Atlas_spliced_unspliced_raw_counts.rds.gz;GSE152766_Stele_Atlas.rds.gz;GSE152766_col0_COPILOT.rds.gz;GSE152766_dc1_COPILOT.rds.gz;GSE152766_dc2_COPILOT.rds.gz;GSE152766_pp1_COPILOT.rds.gz	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
arabidopsis_lifecycle_spatial_atlas	Arabidopsis thaliana	whole life cycle; multiple organs	A	download_candidate	GSE226097	https://www.nature.com/articles/s41477-025-02072-z	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226097	ok	29	seurat_rds:29	29	GSE226097_221121_curio_seed_seurat.rds.gz;GSE226097_flower_250805.rds;GSE226097_flower_relaxed_220706.rds;GSE226097_global_integration_221009.rds;GSE226097_hook_Col_hls1_integrated_250221.rds;GSE226097_relaxed_global_integration_221122.rds;GSE226097_rosette_21d_230221.rds.gz;GSE226097_rosette_21d_relaxed_220713.rds;GSE226097_rosette_30d_230221.rds.gz;GSE226097_rosette_30d_relaxed_220706.rds;GSE226097_rosette_merge_220824.rds;GSE226097_seed_0d_230221.rds.gz	download Seurat RDS; export with export_seurat_rds_to_mtx.R; build NPZ manifest	True	
discovered_gse303996	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE303996	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303996	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303996	ok	17	mtx_archive:1;seurat_rds:16	17	GSE303996_Accessibility_Matrix_Ath_Multiome_Ctr_Cut_2h_DMSO_TSA_SCT_Annotated_Normalised_ATAC.rds;GSE303996_Accessibility_Matrix_Ath_Multiome_Ctr_Cut_2h_DMSO_TSA_SCT_Annotated_Normalised_ATAC_Accessibility_Macs2_peaksNarrowPerCell.rds;GSE303996_Accessibility_Matrix_Ath_Multiome_Ctr_Cut_2h_DMSO_TSA_SCT_Annotated_RawATAC_Counts_Macs2_peaksNarrowPerCell.rds;GSE303996_Accessibility_Matrix_Ath_Multiome_Ctr_Cut_2h_DMSO_TSA_SCT_Annotated_Raw_ATAC_Counts.rds;GSE303996_Expression_Matrix_Ath_Ctr_Cut_4_9_14_24_36h_SCTREF_Annotated_Normalised_Expression.rds;GSE303996_Expression_Matrix_Ath_Ctr_Cut_4_9_14_24_36h_SCTREF_Annotated_RawCounts.rds;GSE303996_Expression_Matrix_Ath_Ctr_Cut_4_9_14_24_Curcumin_treatment_SCTREF_Annotated_Normalised_Expression.rds;GSE303996_Expression_Matrix_Ath_Ctr_Cut_4_9_14_24_Curcumin_treatment_SCTREF_Annotated_RawCounts.rds;GSE303996_Expression_Matrix_Ath_Ctr_Cut_4_9_14_24_Roscovitine_SCTREF_Annotated_RawCounts.rds;GSE303996_Expression_Matrix_Ath_Ctr_Cut_4_9_14_24_Roscovitine_treatment_SCTREF_Annotated_Normalised_Expression.rds;GSE303996_Expression_Matrix_Ath_Ctr_Cut_4_9_14_24_TSA_treatment_SCTREF_Annotated_Normalised_Expression.rds;GSE303996_Expression_Matrix_Ath_Ctr_Cut_4_9_14_24_TSA_treatment_SCTREF_Annotated_RawCounts.rds	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse226826	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE226826	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226826	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226826	ok	15	seurat_rds:15	15	GSE226826_AvrRpm1_24h_peak.rds.gz;GSE226826_AvrRpm1_4h_peak.rds.gz;GSE226826_AvrRpm1_6h_peak.rds.gz;GSE226826_AvrRpm1_9h_peak.rds.gz;GSE226826_AvrRpt2_24h_peak.rds.gz;GSE226826_AvrRpt2_4h_peak.rds.gz;GSE226826_AvrRpt2_6h_peak.rds.gz;GSE226826_AvrRpt2_9h_peak.rds.gz;GSE226826_DC3000_24h_peak.rds.gz;GSE226826_DC3000_4h_peak.rds.gz;GSE226826_DC3000_6h_peak.rds.gz;GSE226826_DC3000_9h_peak.rds.gz	download Seurat RDS; export with export_seurat_rds_to_mtx.R; build NPZ manifest	True	
discovered_gse261441	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE261441	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261441	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261441	ok	25	metadata_table:16;mtx_component:8;seurat_rds:1	9	GSE261441_A.thaliana_periderm_snRNAseq_atlas_Seurat_object.rds.gz;GSE261441_D10_experiment_1_barcodes.tsv.gz;GSE261441_D10_experiment_1_features.tsv.gz;GSE261441_D10_experiment_1_matrix.mtx.gz;GSE261441_D10_experiment_2_barcodes.tsv.gz;GSE261441_D10_experiment_2_features.tsv.gz;GSE261441_D10_experiment_2_matrix.mtx.gz;GSE261441_D12_experiment_2_barcodes.tsv.gz;GSE261441_D12_experiment_2_features.tsv.gz;GSE261441_D12_experiment_2_matrix.mtx.gz;GSE261441_D14_experiment_2_barcodes.tsv.gz;GSE261441_D14_experiment_2_features.tsv.gz	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
rice_soil_stress_root_atlas	Oryza sativa	roots under gel, soil, and compacted soil	A	download_candidate	GSE251706	https://www.nature.com/articles/s41586-025-08941-z	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE251706	ok	7	mtx_archive:1;seurat_rds:6	7	GSE251706_RAW.tar;GSE251706_Rice_12S_WT_atlas_seu3.rds.gz;GSE251706_Rice_4S_XKit_Kit_NC_20241025_seu3.rds.gz;GSE251706_Rice_8S_gel_soil_seu3.rds.gz;GSE251706_Rice_9S_gel_soil_WT_XK_K_20240730_seu3.rds.gz;GSE251706_tz1_COPILOT.rds.gz;GSE251706_tz2_COPILOT.rds.gz	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse240098	Medicago truncatula	public discovery candidate	A	ncbi_discovery_candidate	GSE240098	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240098	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240098	ok	5	metadata_table:2;mtx_archive:1;seurat_rds:2	3	GSE240098_RAW.tar;GSE240098_med.RDS.gz;GSE240098_med_AMF.RDS.gz;GSE240098_med_AMF_metaData.csv.gz;GSE240098_med_metaData.csv.gz	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse240102	Medicago truncatula	public discovery candidate	A	ncbi_discovery_candidate	GSE240102	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240102	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240102	ok	5	metadata_table:2;mtx_archive:1;seurat_rds:2	3	GSE240102_RAW.tar;GSE240102_myc.integrated.meta.csv.gz;GSE240102_myc.integrated.rds.gz;GSE240102_wt.integrated2.meta.csv.gz;GSE240102_wt.integrated2.rds.gz	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse241573	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE241573	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241573	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241573	ok	4	metadata_table:1;mtx_archive:1;mtx_component:2	3	GSE241573_Expression_Matrix_Normed_Counts_Ath_Root_Auxin_treatment_DR5_DR15_IR8_ER13.mtx.gz;GSE241573_Expression_Matrix_Raw_Counts_Ath_Root_Auxin_treatment_DR5_DR15_IR8_ER13.mtx.gz;GSE241573_Meta_Data_Ath_Root_Auxin_treatment_DR5_DR15_IR8_ER13.csv.gz;GSE241573_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
