dataset_id	accession	species	tissue_or_scope	priority	status	filename	file_type	url	matrix_like
rice_root_tip_atlas	GSE146034	Oryza sativa	root tip	B	download_candidate	GSE146034_RAW.tar	mtx_archive	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE146034&format=file&file=GSE146034_RAW.tar	True
tomato_rice_root_tip_celltype_atlas	GSE149217	Solanum lycopersicum; Oryza sativa	root tip cell types	B	download_candidate	GSE149217_RAW.tar	mtx_archive	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE149217&format=file&file=GSE149217_RAW.tar	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_RAW.tar	mtx_archive	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE152766&format=file&file=GSE152766_RAW.tar	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_Columella_Atlas.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_Columella_Atlas.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_Epidermis_LRC_Atlas.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_Epidermis_LRC_Atlas.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_Ground_Tissue_Atlas.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_Ground_Tissue_Atlas.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_Root_Atlas.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_Root_Atlas.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_Root_Atlas_seu4.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_Root_Atlas_seu4.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_Root_Atlas_spliced_unspliced_raw_counts.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_Root_Atlas_spliced_unspliced_raw_counts.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_Stele_Atlas.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_Stele_Atlas.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_col0_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_col0_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_dc1_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_dc1_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_dc2_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_dc2_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_pp1_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_pp1_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_rc.integrated_scr.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_rc.integrated_scr.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_rc.integrated_shr.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_rc.integrated_shr.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_rc.integrated_wt_shr_scr.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_rc.integrated_wt_shr_scr.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_10_at_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_10_at_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_11_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_11_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_12_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_12_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_1_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_1_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_20_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_20_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_21_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_21_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_25_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_25_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_30_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_30_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_31_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_31_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_36_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_36_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_37_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_37_COPILOT.rds.gz	True
arabidopsis_root_atlas	GSE152766	Arabidopsis thaliana	root	A	download_candidate	GSE152766_sc_40_COPILOT.rds.gz	seurat_rds	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152766/suppl/GSE152766_sc_40_COPILOT.rds.gz	True
